%0.008544482743	0.09299271545	0.1120859617
%0.995100995	0.9515722038	0.9484125792
%Normed hits	Normed Secret Hits	Normed L_Privacy Hits
0.986784141	0.8281938326	0.7356828194
0.9868421053	0.8289473684	0.7368421053
0.9868995633	0.8296943231	0.7379912664
0.9869565217	0.8304347826	0.7391304348
0.987012987	0.8311688312	0.7402597403
0.9870689655	0.8318965517	0.7413793103
0.9871244635	0.8326180258	0.7424892704
0.9871794872	0.8333333333	0.7435897436
0.9872340426	0.8340425532	0.7446808511
0.9872881356	0.8347457627	0.7457627119
0.9873417722	0.835443038	0.746835443
0.987394958	0.8361344538	0.7478991597
0.9874476987	0.8368200837	0.7489539749
0.9875	0.8375	0.75
0.9875518672	0.8381742739	0.7510373444
0.9876033058	0.8388429752	0.7520661157
0.987654321	0.8395061728	0.7530864198
0.987704918	0.8401639344	0.7540983607
0.987755102	0.8408163265	0.7551020408
0.987804878	0.8414634146	0.756097561
0.987854251	0.8421052632	0.7570850202
0.9879032258	0.8427419355	0.7580645161
0.9879518072	0.843373494	0.7590361446
0.988	0.844	0.76
0.9880478088	0.8446215139	0.7609561753
0.9880952381	0.8452380952	0.7619047619
0.9881422925	0.8458498024	0.7628458498
0.9881889764	0.8464566929	0.7637795276
0.9843137255	0.8470588235	0.7647058824
0.984375	0.84765625	0.765625
0.9844357977	0.8482490272	0.766536965
0.984496124	0.8488372093	0.7674418605
0.9845559846	0.8494208494	0.7683397683
0.9846153846	0.85	0.7692307692
0.9846743295	0.8505747126	0.7701149425
0.9847328244	0.8511450382	0.7709923664
0.9847908745	0.8517110266	0.7718631179
0.9848484848	0.8522727273	0.7727272727
0.9811320755	0.8528301887	0.7735849057
0.9812030075	0.8533834586	0.7744360902
0.9812734082	0.8539325843	0.7752808989
0.9813432836	0.8544776119	0.776119403
0.9814126394	0.8550185874	0.7769516729
0.9814814815	0.8555555556	0.7777777778
0.9815498155	0.8560885609	0.778597786
0.9816176471	0.8566176471	0.7794117647
0.9816849817	0.8571428571	0.7802197802
0.9817518248	0.8576642336	0.7810218978
0.9818181818	0.8581818182	0.7818181818
0.981884058	0.8586956522	0.7826086957
0.9819494585	0.8592057762	0.7833935018
0.9820143885	0.8597122302	0.7841726619
0.982078853	0.8602150538	0.7849462366
0.9821428571	0.8607142857	0.7857142857
0.9822064057	0.8612099644	0.7864768683
0.9822695035	0.8617021277	0.7872340426
0.9823321555	0.8621908127	0.7879858657
