%Number of Apps	Frame Size	Without Abstraction	With Abstraction	With Abstraction (Remote)
1	300	247.40	242.60	2030.40
2	300	267.50	266.90	1982.70
3	300	888.00	637.10	1958.50
5	300	1441.40	894.60	2053.00
7	300	1227.00	746.30	2009.70
9	300	1910.70	782.80	2042.10
11	300	2414.70	831.80	1998.40
15	300	2637.30	1083.00	2024.60
20	300	3929.70	1125.50	2035.20
