%Number of Apps	Frame Size	Without Abstraction	With Abstraction	With Abstraction (Remote)
1	400	553.27	557.09	2192.89
2	400	272.64	274.64	2474.00
3	400	656.00	240.45	2188.73
5	400	1211.36	858.55	2162.73
7	400	1288.18	659.18	2211.36
9	400	1734.73	657.45	2405.18
11	400	2552.82	1031.91	2410.82
15	400	3162.82	1133.00	2498.45
20	400	3446.18	837.73	2691.27
